vol=73|sen=409; 436265672; TOB; -633.388  421.353  273.155
vol=75|sen=582; 436298600; TOB; -799.01 563.516 273.139
vol=76|sen=558; 436315112; TOB; -898.379  576.159  273.157
-----
vol=36|sen=68; 303071256; PixelBarrel;  -19.052 -19.6731  100.501
vol=42|sen=39; 352647172; PixelEndcap; -47.2579 -62.2591  330.759
vol=43|sen=80; 353031172; PixelEndcap; -80.7893 -99.1584  387.382
vol=43|sen=73; 353032196; PixelEndcap; -73.4753 -104.678  385.849
vol=43|sen=5; 352909316; PixelEndcap; -47.2571 -62.2577  405.758
vol=44|sen=96; 353293316; PixelEndcap;  -80.787 -99.1558  482.376
vol=44|sen=59; 353294340; PixelEndcap; -73.4732 -104.675  480.843
vol=65|sen=60; 402676518; TID; -143.347 -248.321  1035.57
vol=65|sen=59; 402676517; TID; -143.343 -248.325  1038.02
vol=85|sen=10; 470312489; TEC; -169.026 -220.281  1263.98
vol=85|sen=73; 470312522; TEC; -223.444 -291.236  1298.48
vol=85|sen=82; 470312521; TEC; -223.577 -291.132  1301.77
vol=86|sen=73; 470328906; TEC; -223.444 -291.237  1438.38
vol=86|sen=81; 470328905; TEC; -223.575 -291.134  1441.67
vol=87|sen=73; 470345290; TEC; -223.443 -291.237  1578.26
vol=87|sen=81; 470345289; TEC; -223.572 -291.135  1581.55
vol=88|sen=78; 470361708; TEC; -262.967 -361.993  1690.89
vol=88|sen=111; 470357604; TEC; -203.105 -398.683  1762.47
vol=89|sen=102; 470373988; TEC; -203.102 -398.676  1902.31
vol=90|sen=193; 470390404; TEC;  -271.71 -491.699  2107.34
vol=91|sen=50; 470406788; TEC; -271.711 -491.703  2297.07
vol=92|sen=168; 470423205; TEC; -353.445 -577.264  2464.18
vol=92|sen=192; 470423206; TEC;  -353.63 -577.158   2467.3
vol=93|sen=142; 470439589; TEC; -353.451 -577.264  2678.86
vol=93|sen=131; 470439590; TEC; -353.633 -577.165  2681.99
-----
vol=36|sen=54; 303042580; PixelBarrel; 29.3899 8.38326 33.5002
vol=37|sen=135; 304091156; PixelBarrel; 68.7793 8.90259 33.5007
vol=38|sen=219; 305139732; PixelBarrel; 110.105 7.65171 33.5008
vol=39|sen=298; 306192404; PixelBarrel; 159.738 23.5498 33.5006
vol=57|sen=534; 369125397; TIB; 268.406 28.0431 75.7537
vol=60|sen=373; 369173540; TIB; 474.227  86.946 33.5008
vol=71|sen=777; 436232230; TOB; 592.667 55.6015 92.3206
